%A	B	C	PENALTY
10430	10431	2210	-1
2530	10616	10619	-1
10616	10619	2530	-1
1539	31107	1540	-1
27013	31070	1542	-1
1535	31070	27013	-1
7040	27013	31070	-1
31069	31070	27013	-1
31070	27013	1535	-1
31107	1539	27000	-1
1538	1539	31107	-1
1540	1541	1537	-1
11099	11086	11087	-1
11441	3254	23013	-1
11447	11446	11434	-1
13955	10479	3234	-1
10473	3225	13992	-1
3225	10473	14030	-1
3240	3236	13995	-1
10473	3236	14029	-1
3236	3240	14028	-1
14000	3240	1624	-1
3214	3297	2803	-1
3297	14000	13999	-1
14001	14000	3297	-1
2852	1705	1706	-1
3341	1705	14027	-1
2852	3305	14015	-1
1709	3305	13382	-1
2852	3305	13382	-1
14015	3305	1709	-1
13382	3305	2852	-1
3305	1709	14017	-1
1710	1709	14016	-1
4781	4177	15894	-1
15897	15894	4177	-1
12614	4176	12612	-1
15884	12612	4176	-1
3106	3107	11933	-1
3066	3107	11932	-1
6746	3104	11928	-1
3103	3104	11929	-1
3198	3103	11927	-1
3104	3103	11926	-1
3103	3198	11920	-1
3101	11960	11910	-1
11960	3101	11908	-1
2106	10509	10510	-1
10509	2106	11903	-1
10509	31428	11900	-1
2119	31428	11901	-1
2119	10538	10541	-1
10538	2119	10540	-1
31253	10743	11850	-1
31281	31057	31134	-1
31281	31334	31280	-1
31281	31134	31157	-1
31057	31134	31157	-1
31057	31134	31280	-1
2587	31134	31284	-1
31134	31280	31281	-1
31134	31157	31280	-1
31063	10745	10746	-1
10746	31063	10745	-1
31064	1951	1952	-1
2099	2100	6995	-1
16043	2100	16045	-1
16045	2100	31455	-1
31455	2100	2099	-1
31499	2131	2097	-1
2097	2131	2076	-1
2131	2076	31459	-1
31368	2076	31364	-1
31368	31471	31473	-1
31478	31318	31348	-1
31478	2081	7044	-1
31297	2132	31299	-1
27002	2132	31297	-1
31317	2132	27002	-1
31299	2132	31317	-1
2793	3502	3543	-1
5507	3502	2843	-1
2843	3502	2793	-1
3543	3502	5507	-1
15915	3526	3544	-1
2792	3526	5508	-1
3502	3543	5499	-1
5499	3543	3544	-1
2111	2182	2181	-1
2182	2111	2184	-1
2111	2177	2184	-1
2111	2184	2183	-1
10348	10783	10782	-1
10782	2402	10348	-1
6053	8723	6054	-1
6052	31099	8722	-1
11246	16823	11244	-1
11244	11245	4016	-1
1694	11243	3303	-1
16756	16755	16758	-1
31115	10714	6418	-1
10714	31115	13408	-1
10714	31115	31207	-1
31201	31115	10714	-1
31155	10714	31115	-1
14542	4954	14528	-1
3341	1696	19033	-1
3341	1696	19032	-1
11265	1696	19032	-1
11265	1696	19033	-1
19032	1696	11265	-1
1696	19033	14013	-1
11265	3301	14010	-1
1696	11265	14013	-1
2851	3301	14010	-1
3301	11265	14013	-1
14012	3301	11265	-1
3301	14010	14011	-1
14011	11265	3301	-1
11265	14013	14012	-1
3229	1636	14009	-1
1636	3229	14006	-1
1632	3229	14007	-1
10407	10408	2204	-1
2204	10406	10407	-1
10404	2594	10405	-1
13664	13667	8722	-1
19192	8722	13667	-1
8572	8411	8587	-1
8572	8411	8410	-1
3106	6747	11938	-1
3104	6746	11941	-1
6745	2072	11906	-1
3101	6745	11907	-1
2072	6745	11912	-1
15793	3134	11943	-1
